sample_id,report_id,created,last_update
59973,4760,2019-03-20 15:22:32.511819+01,2019-03-20 15:22:32.511819+01
59974,4760,2019-03-20 15:22:32.511819+01,2019-03-20 15:22:32.511819+01
59975,4760,2019-03-20 15:22:32.511819+01,2019-03-20 15:22:32.511819+01
59976,4760,2019-03-20 15:22:32.511819+01,2019-03-20 15:22:32.511819+01
59977,4763,2019-03-20 15:22:48.286733+01,2019-03-20 15:22:48.286733+01
59978,4763,2019-03-20 15:22:48.286733+01,2019-03-20 15:22:48.286733+01
59979,4763,2019-03-20 15:22:48.286733+01,2019-03-20 15:22:48.286733+01
59980,4763,2019-03-20 15:22:48.286733+01,2019-03-20 15:22:48.286733+01
73275,4755,2019-03-20 15:22:15.570812+01,2019-03-20 15:22:15.570812+01
73284,4755,2019-03-20 15:22:15.570812+01,2019-03-20 15:22:15.570812+01
73293,4755,2019-03-20 15:22:15.570812+01,2019-03-20 15:22:15.570812+01
59981,4763,2019-03-20 15:22:48.286733+01,2019-03-20 15:22:48.286733+01
59982,4763,2019-03-20 15:22:48.286733+01,2019-03-20 15:22:48.286733+01
59983,4763,2019-03-20 15:22:48.286733+01,2019-03-20 15:22:48.286733+01
59984,4763,2019-03-20 15:22:48.286733+01,2019-03-20 15:22:48.286733+01
59985,4763,2019-03-20 15:22:48.286733+01,2019-03-20 15:22:48.286733+01
59986,4763,2019-03-20 15:22:48.286733+01,2019-03-20 15:22:48.286733+01
59987,4763,2019-03-20 15:22:48.286733+01,2019-03-20 15:22:48.286733+01
59988,4763,2019-03-20 15:22:48.286733+01,2019-03-20 15:22:48.286733+01
59989,4763,2019-03-20 15:22:48.286733+01,2019-03-20 15:22:48.286733+01
59990,4763,2019-03-20 15:22:48.286733+01,2019-03-20 15:22:48.286733+01
59991,4763,2019-03-20 15:22:48.286733+01,2019-03-20 15:22:48.286733+01
59992,4763,2019-03-20 15:22:48.286733+01,2019-03-20 15:22:48.286733+01
59993,4763,2019-03-20 15:22:48.286733+01,2019-03-20 15:22:48.286733+01
59994,4763,2019-03-20 15:22:48.286733+01,2019-03-20 15:22:48.286733+01
59995,4763,2019-03-20 15:22:48.286733+01,2019-03-20 15:22:48.286733+01
59996,4763,2019-03-20 15:22:48.286733+01,2019-03-20 15:22:48.286733+01
59997,4763,2019-03-20 15:22:48.286733+01,2019-03-20 15:22:48.286733+01
59998,4763,2019-03-20 15:22:48.286733+01,2019-03-20 15:22:48.286733+01
59999,4763,2019-03-20 15:22:48.286733+01,2019-03-20 15:22:48.286733+01
60000,4763,2019-03-20 15:22:48.286733+01,2019-03-20 15:22:48.286733+01
60001,4763,2019-03-20 15:22:48.286733+01,2019-03-20 15:22:48.286733+01
60002,4763,2019-03-20 15:22:48.286733+01,2019-03-20 15:22:48.286733+01
60003,4763,2019-03-20 15:22:48.286733+01,2019-03-20 15:22:48.286733+01
60004,4763,2019-03-20 15:22:48.286733+01,2019-03-20 15:22:48.286733+01
60005,4763,2019-03-20 15:22:48.286733+01,2019-03-20 15:22:48.286733+01
60006,4763,2019-03-20 15:22:48.286733+01,2019-03-20 15:22:48.286733+01
60007,4763,2019-03-20 15:22:48.286733+01,2019-03-20 15:22:48.286733+01
60008,4763,2019-03-20 15:22:48.286733+01,2019-03-20 15:22:48.286733+01
60009,4763,2019-03-20 15:22:48.286733+01,2019-03-20 15:22:48.286733+01
60010,4763,2019-03-20 15:22:48.286733+01,2019-03-20 15:22:48.286733+01
60011,4763,2019-03-20 15:22:48.286733+01,2019-03-20 15:22:48.286733+01
60012,4763,2019-03-20 15:22:48.286733+01,2019-03-20 15:22:48.286733+01
60013,4763,2019-03-20 15:22:48.286733+01,2019-03-20 15:22:48.286733+01
60014,4763,2019-03-20 15:22:48.286733+01,2019-03-20 15:22:48.286733+01
60015,4763,2019-03-20 15:22:48.286733+01,2019-03-20 15:22:48.286733+01
60016,4763,2019-03-20 15:22:48.286733+01,2019-03-20 15:22:48.286733+01
60017,4763,2019-03-20 15:22:48.286733+01,2019-03-20 15:22:48.286733+01
60018,4763,2019-03-20 15:22:48.286733+01,2019-03-20 15:22:48.286733+01
60019,4763,2019-03-20 15:22:48.286733+01,2019-03-20 15:22:48.286733+01
60020,4763,2019-03-20 15:22:48.286733+01,2019-03-20 15:22:48.286733+01
60021,4763,2019-03-20 15:22:48.286733+01,2019-03-20 15:22:48.286733+01
60022,4763,2019-03-20 15:22:48.286733+01,2019-03-20 15:22:48.286733+01
60023,4763,2019-03-20 15:22:48.286733+01,2019-03-20 15:22:48.286733+01
60024,4763,2019-03-20 15:22:48.286733+01,2019-03-20 15:22:48.286733+01
60025,4763,2019-03-20 15:22:48.286733+01,2019-03-20 15:22:48.286733+01
60026,4763,2019-03-20 15:22:48.286733+01,2019-03-20 15:22:48.286733+01
60027,4763,2019-03-20 15:22:48.286733+01,2019-03-20 15:22:48.286733+01
60028,4763,2019-03-20 15:22:48.286733+01,2019-03-20 15:22:48.286733+01
60029,4763,2019-03-20 15:22:48.286733+01,2019-03-20 15:22:48.286733+01
60030,4763,2019-03-20 15:22:48.286733+01,2019-03-20 15:22:48.286733+01
60031,4763,2019-03-20 15:22:48.286733+01,2019-03-20 15:22:48.286733+01
60032,4763,2019-03-20 15:22:48.286733+01,2019-03-20 15:22:48.286733+01
60033,4763,2019-03-20 15:22:48.286733+01,2019-03-20 15:22:48.286733+01
60034,4763,2019-03-20 15:22:48.286733+01,2019-03-20 15:22:48.286733+01
60035,4763,2019-03-20 15:22:48.286733+01,2019-03-20 15:22:48.286733+01
60036,4763,2019-03-20 15:22:48.286733+01,2019-03-20 15:22:48.286733+01
60037,4763,2019-03-20 15:22:48.286733+01,2019-03-20 15:22:48.286733+01
60038,4763,2019-03-20 15:22:48.286733+01,2019-03-20 15:22:48.286733+01
60039,4763,2019-03-20 15:22:48.286733+01,2019-03-20 15:22:48.286733+01
60040,4763,2019-03-20 15:22:48.286733+01,2019-03-20 15:22:48.286733+01
60041,4763,2019-03-20 15:22:48.286733+01,2019-03-20 15:22:48.286733+01
60042,4763,2019-03-20 15:22:48.286733+01,2019-03-20 15:22:48.286733+01
60043,4763,2019-03-20 15:22:48.286733+01,2019-03-20 15:22:48.286733+01
