apt_name,report_id,created,last_update
neodymium,4834,2019-03-20 15:26:20.593098+01,2019-03-20 15:26:20.593098+01
blackoasis,4835,2019-03-20 15:26:20.598836+01,2019-03-20 15:26:20.598836+01
blackoasis,4836,2019-03-20 15:26:27.974016+01,2019-03-20 15:26:27.974016+01
oilrig,4837,2019-03-20 15:26:29.031742+01,2019-03-20 15:26:29.031742+01
blackoasis,4837,2019-03-20 15:26:29.03287+01,2019-03-20 15:26:29.03287+01
equation,4837,2019-03-20 15:26:29.033751+01,2019-03-20 15:26:29.033751+01
lazarusgroup,4837,2019-03-20 15:26:29.034563+01,2019-03-20 15:26:29.034563+01
blackoasis,4834,2019-03-20 15:26:29.525006+01,2019-03-20 15:26:29.525006+01
apt1,4839,2019-03-20 15:26:29.530137+01,2019-03-20 15:26:29.530137+01
apt1,4840,2019-03-20 15:26:40.490494+01,2019-03-20 15:26:40.490494+01
group5,4841,2019-03-20 15:26:51.290573+01,2019-03-20 15:26:51.290573+01
apt1,4841,2019-03-20 15:26:51.291516+01,2019-03-20 15:26:51.291516+01
ke3chang,4841,2019-03-20 15:26:51.292528+01,2019-03-20 15:26:51.292528+01
gamaredongroup,4842,2019-03-20 15:26:51.302941+01,2019-03-20 15:26:51.302941+01
gamaredongroup,4843,2019-03-20 15:27:02.436347+01,2019-03-20 15:27:02.436347+01
fin7,4844,2019-03-20 15:27:02.569623+01,2019-03-20 15:27:02.569623+01
fin7,4845,2019-03-20 15:27:09.107012+01,2019-03-20 15:27:09.107012+01
fin7,4846,2019-03-20 15:27:10.168304+01,2019-03-20 15:27:10.168304+01
fin7,4847,2019-03-20 15:27:10.676212+01,2019-03-20 15:27:10.676212+01
fin7,4848,2019-03-20 15:27:11.25491+01,2019-03-20 15:27:11.25491+01
fin7,4849,2019-03-20 15:27:12.168603+01,2019-03-20 15:27:12.168603+01
fin7,4850,2019-03-20 15:27:13.269188+01,2019-03-20 15:27:13.269188+01
moafee,4851,2019-03-20 15:27:13.387768+01,2019-03-20 15:27:13.387768+01
moafee,4852,2019-03-20 15:27:21.140235+01,2019-03-20 15:27:21.140235+01
muddywater,4853,2019-03-20 15:27:21.147999+01,2019-03-20 15:27:21.147999+01
fin7,4854,2019-03-20 15:27:30.81269+01,2019-03-20 15:27:30.81269+01
