report_id,technique_id,created,last_update
1139,attack-pattern--b21c3b2d-02e6-45b1-980b-e69051040839,2019-07-12 16:53:47.18179+00,2019-07-12 16:53:47.18179+00
1139,attack-pattern--66f73398-8394-4711-85e5-34c8540b22a5,2019-07-12 16:53:47.193289+00,2019-07-12 16:53:47.193289+00
1139,attack-pattern--e6919abc-99f9-4c6c-95a5-14761e7b2add,2019-07-12 16:53:47.201617+00,2019-07-12 16:53:47.201617+00
1139,attack-pattern--bb5a00de-e086-4859-a231-fa793f6797e2,2019-07-12 16:53:47.209944+00,2019-07-12 16:53:47.209944+00
1139,attack-pattern--42e8de7b-37b2-4258-905a-6897815e58e0,2019-07-12 16:53:47.218266+00,2019-07-12 16:53:47.218266+00
1139,attack-pattern--43e7dc91-05b2-474c-b9ac-2ed4fe101f4d,2019-07-12 16:53:47.226589+00,2019-07-12 16:53:47.226589+00
1139,attack-pattern--d742a578-d70e-4d0e-96a6-02a9c30204e6,2019-07-12 16:53:47.234928+00,2019-07-12 16:53:47.234928+00
1139,attack-pattern--8c32eb4d-805f-4fc5-bf60-c4d476c131b5,2019-07-12 16:53:47.243281+00,2019-07-12 16:53:47.243281+00
1139,attack-pattern--f72eb8a8-cd4c-461d-a814-3f862befbf00,2019-07-12 16:53:47.251639+00,2019-07-12 16:53:47.251639+00
1139,attack-pattern--6aac77c4-eaf2-4366-8c13-ce50ab951f38,2019-07-12 16:53:47.259914+00,2019-07-12 16:53:47.259914+00
1141,attack-pattern--1b84d551-6de8-4b96-9930-d177677c3b1d,2019-07-12 16:54:09.531304+00,2019-07-12 16:54:09.531304+00
1141,attack-pattern--0f20e3cb-245b-4a61-8a91-2d93f7cb0e9b,2019-07-12 16:54:09.542755+00,2019-07-12 16:54:09.542755+00
1141,attack-pattern--8f4a33ec-8b1f-4b80-a2f6-642b2e479580,2019-07-12 16:54:09.551072+00,2019-07-12 16:54:09.551072+00
1143,attack-pattern--57340c81-c025-4189-8fa0-fc7ede51bae4,2019-07-12 16:54:32.395988+00,2019-07-12 16:54:32.395988+00
1143,attack-pattern--327f3cc5-eea1-42d4-a6cd-ed34b7ce8f61,2019-07-12 16:54:32.405296+00,2019-07-12 16:54:32.405296+00
1143,attack-pattern--c23b740b-a42b-47a1-aec2-9d48ddd547ff,2019-07-12 16:54:32.416636+00,2019-07-12 16:54:32.416636+00
1143,attack-pattern--a257ed11-ff3b-4216-8c9d-3938ef57064c,2019-07-12 16:54:32.424977+00,2019-07-12 16:54:32.424977+00
1143,attack-pattern--9422fc14-1c43-410d-ab0f-a709b76c72dc,2019-07-12 16:54:32.433283+00,2019-07-12 16:54:32.433283+00
1143,attack-pattern--68f7e3a1-f09f-4164-9a62-16b648a0dd5a,2019-07-12 16:54:32.441635+00,2019-07-12 16:54:32.441635+00
1143,attack-pattern--72b74d71-8169-42aa-92e0-e7b04b9f5a08,2019-07-12 16:54:32.449964+00,2019-07-12 16:54:32.449964+00
1143,attack-pattern--42e8de7b-37b2-4258-905a-6897815e58e0,2019-07-12 16:54:32.458277+00,2019-07-12 16:54:32.458277+00
1143,attack-pattern--c848fcf7-6b62-4bde-8216-b6c157d48da0,2019-07-12 16:54:32.466615+00,2019-07-12 16:54:32.466615+00
1143,attack-pattern--d742a578-d70e-4d0e-96a6-02a9c30204e6,2019-07-12 16:54:32.479202+00,2019-07-12 16:54:32.479202+00
1143,attack-pattern--354a7f88-63fb-41b5-a801-ce3b377b36f1,2019-07-12 16:54:32.488658+00,2019-07-12 16:54:32.488658+00
1143,attack-pattern--8c32eb4d-805f-4fc5-bf60-c4d476c131b5,2019-07-12 16:54:32.500024+00,2019-07-12 16:54:32.500024+00
1143,attack-pattern--d54416bd-0803-41ca-870a-ce1af7c05638,2019-07-12 16:54:32.508339+00,2019-07-12 16:54:32.508339+00
1143,attack-pattern--f4882e23-8aa7-4b12-b28a-b349c12ee9e0,2019-07-12 16:54:32.516673+00,2019-07-12 16:54:32.516673+00
1143,attack-pattern--6aac77c4-eaf2-4366-8c13-ce50ab951f38,2019-07-12 16:54:32.525034+00,2019-07-12 16:54:32.525034+00
1143,attack-pattern--65917ae0-b854-4139-83fe-bf2441cf0196,2019-07-12 16:54:32.533368+00,2019-07-12 16:54:32.533368+00
1143,attack-pattern--b9f5dbe2-4c55-4fc5-af2e-d42c1d182ec4,2019-07-12 16:54:32.541687+00,2019-07-12 16:54:32.541687+00
1143,attack-pattern--7bc57495-ea59-4380-be31-a64af124ef18,2019-07-12 16:54:32.550014+00,2019-07-12 16:54:32.550014+00
1143,attack-pattern--a127c32c-cbb0-4f9d-be07-881a792408ec,2019-07-12 16:54:32.558334+00,2019-07-12 16:54:32.558334+00
1143,attack-pattern--03d7999c-1f4c-42cc-8373-e7690d318104,2019-07-12 16:54:32.566668+00,2019-07-12 16:54:32.566668+00
1143,attack-pattern--7fd87010-3a00-4da3-b905-410525e8ec44,2019-07-12 16:54:32.575018+00,2019-07-12 16:54:32.575018+00
1143,attack-pattern--6ff403bc-93e3-48be-8687-e102fdba8c88,2019-07-12 16:54:32.587632+00,2019-07-12 16:54:32.587632+00
1143,attack-pattern--e6919abc-99f9-4c6c-95a5-14761e7b2add,2019-07-12 16:54:32.597052+00,2019-07-12 16:54:32.597052+00
1143,attack-pattern--2c4d4e92-0ccf-4a97-b54c-86d662988a53,2019-07-12 16:54:32.605356+00,2019-07-12 16:54:32.605356+00
1143,attack-pattern--7385dfaf-6886-4229-9ecd-6fd678040830,2019-07-12 16:54:32.616739+00,2019-07-12 16:54:32.616739+00
1143,attack-pattern--b2001907-166b-4d71-bb3c-9d26c871de09,2019-07-12 16:54:32.625067+00,2019-07-12 16:54:32.625067+00
1143,attack-pattern--be2dcee9-a7a7-4e38-afd6-21b31ecc3d63,2019-07-12 16:54:32.638733+00,2019-07-12 16:54:32.638733+00
1143,attack-pattern--ffe742ed-9100-4686-9e00-c331da544787,2019-07-12 16:54:32.650055+00,2019-07-12 16:54:32.650055+00
1143,attack-pattern--62dfd1ca-52d5-483c-a84b-d6e80bf94b7b,2019-07-12 16:54:32.6584+00,2019-07-12 16:54:32.6584+00
1143,attack-pattern--20138b9d-1aac-4a26-8654-a36b6bbf2bba,2019-07-12 16:54:32.666705+00,2019-07-12 16:54:32.666705+00
1143,attack-pattern--dc27c2ec-c5f9-4228-ba57-d67b590bda93,2019-07-12 16:54:32.675041+00,2019-07-12 16:54:32.675041+00
1143,attack-pattern--b3d682b6-98f2-4fb0-aa3b-b4df007ca70a,2019-07-12 16:54:32.683368+00,2019-07-12 16:54:32.683368+00
1143,attack-pattern--92d7da27-2d91-488e-a00c-059dc162766d,2019-07-12 16:54:32.691728+00,2019-07-12 16:54:32.691728+00
1143,attack-pattern--799ace7f-e227-4411-baa0-8868704f2a69,2019-07-12 16:54:32.700018+00,2019-07-12 16:54:32.700018+00
1143,attack-pattern--b21c3b2d-02e6-45b1-980b-e69051040839,2019-07-12 16:54:32.708338+00,2019-07-12 16:54:32.708338+00
1143,attack-pattern--e3a12395-188d-4051-9a16-ea8e14d07b88,2019-07-12 16:54:32.720917+00,2019-07-12 16:54:32.720917+00
1143,attack-pattern--01a5a209-b94c-450b-b7f9-946497d91055,2019-07-12 16:54:32.730428+00,2019-07-12 16:54:32.730428+00
1143,attack-pattern--707399d6-ab3e-4963-9315-d9d3818cd6a0,2019-07-12 16:54:32.741775+00,2019-07-12 16:54:32.741775+00
1143,attack-pattern--f72eb8a8-cd4c-461d-a814-3f862befbf00,2019-07-12 16:54:32.750109+00,2019-07-12 16:54:32.750109+00
1143,attack-pattern--f44731de-ea9f-406d-9b83-30ecbb9b4392,2019-07-12 16:54:32.758419+00,2019-07-12 16:54:32.758419+00
1143,attack-pattern--56fca983-1cf1-4fd1-bda0-5e170a37ab59,2019-07-12 16:54:32.766769+00,2019-07-12 16:54:32.766769+00
1143,attack-pattern--0a3ead4e-6d47-4ccb-854c-a6a4f9d96b22,2019-07-12 16:54:32.77508+00,2019-07-12 16:54:32.77508+00
1143,attack-pattern--c16e5409-ee53-4d79-afdc-4099dc9292df,2019-07-12 16:54:32.783427+00,2019-07-12 16:54:32.783427+00
1143,attack-pattern--e358d692-23c0-4a31-9eb6-ecc13a8d7735,2019-07-12 16:54:32.791781+00,2019-07-12 16:54:32.791781+00
1143,attack-pattern--c32f7008-9fea-41f7-8366-5eb9b74bd896,2019-07-12 16:54:32.800067+00,2019-07-12 16:54:32.800067+00
1143,attack-pattern--35dd844a-b219-4e2b-a6bb-efa9a75995a9,2019-07-12 16:54:32.808396+00,2019-07-12 16:54:32.808396+00
1143,attack-pattern--478aa214-2ca7-4ec0-9978-18798e514790,2019-07-12 16:54:32.816733+00,2019-07-12 16:54:32.816733+00
1143,attack-pattern--519630c5-f03f-4882-825c-3af924935817,2019-07-12 16:54:32.82509+00,2019-07-12 16:54:32.82509+00
1143,attack-pattern--7e150503-88e7-4861-866b-ff1ac82c4475,2019-07-12 16:54:32.833419+00,2019-07-12 16:54:32.833419+00
1143,attack-pattern--128c55d3-aeba-469f-bd3e-c8996ab4112a,2019-07-12 16:54:32.846004+00,2019-07-12 16:54:32.846004+00
1143,attack-pattern--f879d51c-5476-431c-aedf-f14d207e4d1e,2019-07-12 16:54:32.855428+00,2019-07-12 16:54:32.855428+00
1143,attack-pattern--f2d44246-91f1-478a-b6c8-1227e0ca109d,2019-07-12 16:54:32.866813+00,2019-07-12 16:54:32.866813+00
