sample_id,md5,sha1,sha256,sha512,created,last_update
59912,e75527a20bb75aa9d12a4d1df19b91fa,9baa27a2ed455fda680af3be98621ffa85bc41c0,cdb8a15ededa8b4dee4e9b04a00b10bf4b6504b9a05a25ecae0b0aca8df01ff9,,2019-03-20 15:22:14.246607+01,2019-03-20 16:25:10.180869+01
59919,072af79bb2705b27ac2e8d61a25af04b,a1bcdd05d4eb6cdf0cb69e9506e3df1ab5af4e1a,d7fe3b761e6057bb6bb1065d4cc3fa69e08823e0679bc2946ecee963b9ea0548,,2019-03-20 15:22:14.246607+01,2019-03-20 16:25:12.230698+01
59921,4c46abe77c752f21a59ee03da0ad5011,796deded7a7cb20ad749050934b2a18af6b3291a,07aa6f24cec12b3780ebaba2ca756498e3110243ca82dca018b02bd099da36bb,,2019-03-20 15:22:14.246607+01,2019-03-20 16:25:13.229103+01
59923,2a122167bc13eaf3334d6d2463ea25bb,e72eacb0931ba342b54f0a7cab36a98027e83be9,cec9c4e48fad6e4c2b7cf4bc34d357893ef878e8be076c9f680f297e06184c20,,2019-03-20 15:22:15.570812+01,2019-03-20 16:25:14.033299+01
59925,b69f5221d2c70ae3e3a68635b0835bed,c1fc43f64947c419aa6db8c5946444bfeba0e3b3,1534432fafb21c0479343bc2d9f3991e56c75baa41c54b3470d41055bb578f8f,,2019-03-20 15:22:15.570812+01,2019-03-20 16:25:14.951411+01
59926,f5d55d833ac0b71d2edc5e4c45dfe3a2,658d28d686d9dfbd5c349bc90d941e3f443d9fb1,d22c2ef1453d5575e05a673777931e07c44734fe467a77969bebe86e26aacf98,,2019-03-20 15:22:15.570812+01,2019-03-20 16:25:15.373895+01
59928,afe24283fd933bac9d0c933e0c08ba02,bf5d58ca10daf579d57467071a8f52fa6b93a7a1,28d6a9a709b9ead84aece250889a1687c07e19f6993325ba5295410a478da30a,,2019-03-20 15:22:15.570812+01,2019-03-20 16:25:16.269517+01
59944,2978c6cfff1754c85a4a22b6a72dc9e6,,,,2019-03-20 15:22:23.728313+01,2019-03-20 15:22:23.728313+01
59945,74ff3b246fde30bb3c14483279d4b003,,,,2019-03-20 15:22:23.728313+01,2019-03-20 15:22:23.728313+01
59946,63bd3f80387e3f2c7130bc3b36474c24,,,,2019-03-20 15:22:23.728313+01,2019-03-20 15:22:23.728313+01
