keyword,is_alias,apt_name,created,last_update
emissarypanda,t,threatgroup3390,2019-03-20 15:25:30.458431+01,2019-03-20 15:25:30.458431+01
bronze union,t,threatgroup3390,2019-03-20 15:25:30.458431+01,2019-03-20 15:25:30.458431+01
bronzeunion,t,threatgroup3390,2019-03-20 15:25:30.458431+01,2019-03-20 15:25:30.458431+01
apt27,t,threatgroup3390,2019-03-20 15:25:30.458431+01,2019-03-20 15:25:30.458431+01
iron tiger,t,threatgroup3390,2019-03-20 15:25:30.458431+01,2019-03-20 15:25:30.458431+01
irontiger,t,threatgroup3390,2019-03-20 15:25:30.458431+01,2019-03-20 15:25:30.458431+01
luckymouse,t,threatgroup3390,2019-03-20 15:25:30.458431+01,2019-03-20 15:25:30.458431+01
stealthfalcon,t,stealthfalcon,2019-03-20 15:25:43.372437+01,2019-03-20 15:25:43.372437+01
stealth falcon,t,stealthfalcon,2019-03-20 15:25:43.372437+01,2019-03-20 15:25:43.372437+01
suckfly,t,suckfly,2019-03-20 15:25:50.2721+01,2019-03-20 15:25:50.2721+01
strider,t,strider,2019-03-20 15:25:57.93423+01,2019-03-20 15:25:57.93423+01
projectsauron,t,strider,2019-03-20 15:25:57.940193+01,2019-03-20 15:25:57.940193+01
neodymium,t,neodymium,2019-03-20 15:26:07.385259+01,2019-03-20 15:26:07.385259+01
blackoasis,t,blackoasis,2019-03-20 15:26:20.594547+01,2019-03-20 15:26:20.594547+01
apt1,t,apt1,2019-03-20 15:26:29.526015+01,2019-03-20 15:26:29.526015+01
comment crew,t,apt1,2019-03-20 15:26:29.530137+01,2019-03-20 15:26:29.530137+01
commentcrew,t,apt1,2019-03-20 15:26:29.530137+01,2019-03-20 15:26:29.530137+01
comment group,t,apt1,2019-03-20 15:26:29.530137+01,2019-03-20 15:26:29.530137+01
commentgroup,t,apt1,2019-03-20 15:26:29.530137+01,2019-03-20 15:26:29.530137+01
comment panda,t,apt1,2019-03-20 15:26:29.530137+01,2019-03-20 15:26:29.530137+01
commentpanda,t,apt1,2019-03-20 15:26:29.530137+01,2019-03-20 15:26:29.530137+01
gamaredongroup,t,gamaredongroup,2019-03-20 15:26:51.299618+01,2019-03-20 15:26:51.299618+01
gamaredon group,t,gamaredongroup,2019-03-20 15:26:51.299618+01,2019-03-20 15:26:51.299618+01
fin7,t,fin7,2019-03-20 15:27:02.5657+01,2019-03-20 15:27:02.5657+01
moafee,t,moafee,2019-03-20 15:27:13.384119+01,2019-03-20 15:27:13.384119+01
muddywater,t,muddywater,2019-03-20 15:27:21.141213+01,2019-03-20 15:27:21.141213+01
temp.zagros,t,muddywater,2019-03-20 15:27:21.147999+01,2019-03-20 15:27:21.147999+01
tempzagros,t,muddywater,2019-03-20 15:27:21.147999+01,2019-03-20 15:27:21.147999+01
orangeworm,t,orangeworm,2019-03-20 15:27:32.2265+01,2019-03-20 15:27:32.2265+01
patchwork,t,patchwork,2019-03-20 15:27:39.592136+01,2019-03-20 15:27:39.592136+01
dropping elephant,t,patchwork,2019-03-20 15:27:39.596994+01,2019-03-20 15:27:39.596994+01
droppingelephant,t,patchwork,2019-03-20 15:27:39.596994+01,2019-03-20 15:27:39.596994+01
chinastrats,t,patchwork,2019-03-20 15:27:39.596994+01,2019-03-20 15:27:39.596994+01
operation hangover,t,patchwork,2019-03-20 15:27:39.596994+01,2019-03-20 15:27:39.596994+01
operationhangover,t,patchwork,2019-03-20 15:27:39.596994+01,2019-03-20 15:27:39.596994+01
nightdragon,t,nightdragon,2019-03-20 15:29:24.337564+01,2019-03-20 15:29:24.337564+01
night dragon,t,nightdragon,2019-03-20 15:29:24.337564+01,2019-03-20 15:29:24.337564+01
musical chairs,t,nightdragon,2019-03-20 15:29:24.341587+01,2019-03-20 15:29:24.341587+01
musicalchairs,t,nightdragon,2019-03-20 15:29:24.341587+01,2019-03-20 15:29:24.341587+01
darkhotel,t,darkhotel,2019-03-20 15:29:39.687481+01,2019-03-20 15:29:39.687481+01
sandwormteam,t,sandwormteam,2019-03-20 15:29:45.863308+01,2019-03-20 15:29:45.863308+01
sandworm team,t,sandwormteam,2019-03-20 15:29:45.863308+01,2019-03-20 15:29:45.863308+01
quedagh,t,sandwormteam,2019-03-20 15:29:45.870185+01,2019-03-20 15:29:45.870185+01
voodoo bear,t,sandwormteam,2019-03-20 15:29:45.870185+01,2019-03-20 15:29:45.870185+01
voodoobear,t,sandwormteam,2019-03-20 15:29:45.870185+01,2019-03-20 15:29:45.870185+01
fin10,t,fin10,2019-03-20 15:31:14.822443+01,2019-03-20 15:31:14.822443+01
dragonfly20,t,dragonfly20,2019-03-20 15:31:30.571754+01,2019-03-20 15:31:30.571754+01
dragonfly 2.0,t,dragonfly20,2019-03-20 15:31:30.571754+01,2019-03-20 15:31:30.571754+01
berserk bear,t,dragonfly20,2019-03-20 15:31:30.609693+01,2019-03-20 15:31:30.609693+01
berserkbear,t,dragonfly20,2019-03-20 15:31:30.609693+01,2019-03-20 15:31:30.609693+01
honeybee,t,honeybee,2019-03-20 15:31:40.401302+01,2019-03-20 15:31:40.401302+01
dragonok,t,dragonok,2019-03-20 15:31:48.678964+01,2019-03-20 15:31:48.678964+01
darkcaracal,t,darkcaracal,2019-03-20 15:32:00.111248+01,2019-03-20 15:32:00.111248+01
dark caracal,t,darkcaracal,2019-03-20 15:32:00.111248+01,2019-03-20 15:32:00.111248+01
magichound,t,magichound,2019-03-20 15:32:31.673721+01,2019-03-20 15:32:31.673721+01
magic hound,t,magichound,2019-03-20 15:32:31.673721+01,2019-03-20 15:32:31.673721+01
rocket kitten,t,magichound,2019-03-20 15:32:31.679541+01,2019-03-20 15:32:31.679541+01
rocketkitten,t,magichound,2019-03-20 15:32:31.679541+01,2019-03-20 15:32:31.679541+01
operation saffron rose,t,magichound,2019-03-20 15:32:31.679541+01,2019-03-20 15:32:31.679541+01
operationsaffronrose,t,magichound,2019-03-20 15:32:31.679541+01,2019-03-20 15:32:31.679541+01
ajax security team,t,magichound,2019-03-20 15:32:31.679541+01,2019-03-20 15:32:31.679541+01
ajaxsecurityteam,t,magichound,2019-03-20 15:32:31.679541+01,2019-03-20 15:32:31.679541+01
operation woolen-goldfish,t,magichound,2019-03-20 15:32:31.679541+01,2019-03-20 15:32:31.679541+01
operationwoolengoldfish,t,magichound,2019-03-20 15:32:31.679541+01,2019-03-20 15:32:31.679541+01
newscaster,t,magichound,2019-03-20 15:32:31.679541+01,2019-03-20 15:32:31.679541+01
cobalt gypsy,t,magichound,2019-03-20 15:32:31.679541+01,2019-03-20 15:32:31.679541+01
cobaltgypsy,t,magichound,2019-03-20 15:32:31.679541+01,2019-03-20 15:32:31.679541+01
apt35,t,magichound,2019-03-20 15:32:31.679541+01,2019-03-20 15:32:31.679541+01
