name,related_words,created,last_update
academia,"",2019-07-15 11:14:23.934057+00,2019-07-15 11:14:23.934057+00
telco,"",2019-07-15 11:14:23.962752+00,2019-07-15 11:14:23.962752+00
gov,"",2019-07-15 11:14:23.976345+00,2019-07-15 11:14:23.976345+00
taiwan,"",2019-07-15 11:14:27.947952+00,2019-07-15 11:14:27.947952+00
industry,"",2019-07-15 11:14:28.083054+00,2019-07-15 11:14:28.083054+00
state,"",2019-07-15 11:15:16.89666+00,2019-07-15 11:15:16.89666+00
agency,"",2019-07-15 11:15:41.191938+00,2019-07-15 11:15:41.191938+00
ministry,"",2019-07-15 11:15:41.215857+00,2019-07-15 11:15:41.215857+00
information,"",2019-07-15 11:15:55.42863+00,2019-07-15 11:15:55.42863+00
service,"",2019-07-15 11:16:10.840385+00,2019-07-15 11:16:10.840385+00
denial,"",2019-07-15 11:16:10.870309+00,2019-07-15 11:16:10.870309+00
destruction,"",2019-07-15 11:16:10.886959+00,2019-07-15 11:16:10.886959+00
data,"",2019-07-15 11:16:10.90362+00,2019-07-15 11:16:10.90362+00
valetta,"",2019-07-15 11:18:47.349947+00,2019-07-15 11:18:47.349947+00
bank,"",2019-07-15 11:18:47.410035+00,2019-07-15 11:18:47.410035+00
oil,"",2019-07-15 11:18:58.540488+00,2019-07-15 11:18:58.540488+00
refinery,"",2019-07-15 11:18:58.558605+00,2019-07-15 11:18:58.558605+00
bitcoin,"",2019-07-15 11:19:19.988632+00,2019-07-15 11:19:19.988632+00
exchange,"",2019-07-15 11:19:20.007985+00,2019-07-15 11:19:20.007985+00
india,"",2019-07-15 11:19:31.625212+00,2019-07-15 11:19:31.625212+00
kuwait,"",2019-07-15 11:19:31.652842+00,2019-07-15 11:19:31.652842+00
romania,"",2019-07-15 11:19:31.669503+00,2019-07-15 11:19:31.669503+00
china,"",2019-07-15 11:19:31.686173+00,2019-07-15 11:19:31.686173+00
chemical,"",2019-07-15 11:19:31.836956+00,2019-07-15 11:19:31.836956+00
utility,"",2019-07-15 11:20:59.513957+00,2019-07-15 11:20:59.513957+00
mexico,"",2019-07-15 11:21:15.729798+00,2019-07-15 11:21:15.729798+00
chile,"",2019-07-15 11:21:15.75224+00,2019-07-15 11:21:15.75224+00
argentina,"",2019-07-15 11:21:15.768876+00,2019-07-15 11:21:15.768876+00
institution,"",2019-07-15 11:21:15.856804+00,2019-07-15 11:21:15.856804+00
costa,"",2019-07-15 11:21:15.877208+00,2019-07-15 11:21:15.877208+00
america,"",2019-07-15 11:21:15.893809+00,2019-07-15 11:21:15.893809+00
rica,"",2019-07-15 11:21:15.910479+00,2019-07-15 11:21:15.910479+00
latin,"",2019-07-15 11:21:15.927971+00,2019-07-15 11:21:15.927971+00
logistics,"",2019-07-15 11:21:22.093479+00,2019-07-15 11:21:22.093479+00
airline,"",2019-07-15 11:21:22.126024+00,2019-07-15 11:21:22.126024+00
airport,"",2019-07-15 11:21:22.141202+00,2019-07-15 11:21:22.141202+00
israel,"",2019-07-15 11:22:00.628061+00,2019-07-15 11:22:00.628061+00
germany,"",2019-07-15 11:22:03.921016+00,2019-07-15 11:22:03.921016+00
jordan,"",2019-07-15 11:22:03.93763+00,2019-07-15 11:22:03.93763+00
saudi,"",2019-07-15 11:22:04.04947+00,2019-07-15 11:22:04.04947+00
arabia,"",2019-07-15 11:22:04.067781+00,2019-07-15 11:22:04.067781+00
asia,"",2019-07-15 11:23:48.091408+00,2019-07-15 11:23:48.091408+00
east,"",2019-07-15 11:23:48.156151+00,2019-07-15 11:23:48.156151+00
governmental,"",2019-07-15 11:24:02.467728+00,2019-07-15 11:24:02.467728+00
europe,"",2019-07-15 11:24:52.612919+00,2019-07-15 11:24:52.612919+00
intelligence,"",2019-07-15 11:24:59.884402+00,2019-07-15 11:24:59.884402+00
provider,"",2019-07-15 11:24:59.928195+00,2019-07-15 11:24:59.928195+00
interest,"",2019-07-15 11:25:20.614758+00,2019-07-15 11:25:20.614758+00
afghanistan,"",2019-07-15 11:25:21.357696+00,2019-07-15 11:25:21.357696+00
tunisia,"",2019-07-15 11:25:21.387372+00,2019-07-15 11:25:21.387372+00
libya,"",2019-07-15 11:25:21.404021+00,2019-07-15 11:25:21.404021+00
iraq,"",2019-07-15 11:25:21.420674+00,2019-07-15 11:25:21.420674+00
payment,"",2019-07-15 11:26:11.773941+00,2019-07-15 11:26:11.773941+00
system,"",2019-07-15 11:26:11.810197+00,2019-07-15 11:26:11.810197+00
solution,"",2019-07-15 11:26:39.470766+00,2019-07-15 11:26:39.470766+00
pharmaceutical,"",2019-07-15 11:26:39.497049+00,2019-07-15 11:26:39.497049+00
equipment,"",2019-07-15 11:26:39.517717+00,2019-07-15 11:26:39.517717+00
casino,"",2019-07-15 11:26:43.414278+00,2019-07-15 11:26:43.414278+00
mining,"",2019-07-15 11:26:43.432715+00,2019-07-15 11:26:43.432715+00
